Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
256,8,5,relu,0.2,Adam,"[(0.991, 0.9909271500496626, 0.991, 0.990938959602017), (0.9925, 0.9925154336919044, 0.9925, 0.9923875239499053), (0.9955, 0.9954840542652177, 0.9955, 0.9954746396530838), (0.9905, 0.9905992303463441, 0.9905, 0.9902880611877093), (1.0, 1.0, 1.0, 1.0)]"
256,8,5,relu,0.3,Adam,"[(0.9955, 0.9955223880597015, 0.9955, 0.9954538206912388), (0.99, 0.9901098901098901, 0.99, 0.9897644664146554), (0.992, 0.9920202487225996, 0.992, 0.9918704175758636), (0.992, 0.9920704845814978, 0.992, 0.9918510324483776), (0.9979989994997499, 0.9979989994997499, 0.9979989994997499, 0.9979989994997499)]"
256,8,5,relu,0.5,Adam,"[(0.9945, 0.9945933827026292, 0.9945, 0.9945301258606776), (0.994, 0.9940397350993377, 0.994, 0.993917183272254), (0.995, 0.9949771482872528, 0.995, 0.994977522169531), (0.986, 0.9861175107955332, 0.986, 0.9855635620341503), (0.9989994997498749, 0.9989994997498749, 0.9989994997498749, 0.9989994997498749)]"
256,8,10,relu,0.2,Adam,"[(0.995, 0.9949831276135382, 0.995, 0.994988825303642), (0.9965, 0.996495489736487, 0.9965, 0.9964802752857319), (0.99, 0.9901098901098901, 0.99, 0.9897644664146554), (0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9969984992496248, 0.9969905627529393, 0.9969984992496248, 0.9969917529895465)]"
256,8,10,relu,0.3,Adam,"[(0.994, 0.9940397350993377, 0.994, 0.993917183272254), (0.998, 0.9980044345898005, 0.998, 0.9979910088678124), (0.995, 0.9949823612014933, 0.995, 0.9949660886677871), (0.995, 0.9949831276135382, 0.995, 0.994988825303642), (0.9984992496248124, 0.9984972786338766, 0.9984992496248124, 0.9984975678906587)]"
256,8,10,relu,0.5,Adam,"[(0.9975, 0.9974957135738236, 0.9975, 0.9974915949555052), (0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.9965, 0.9964889313073811, 0.9965, 0.9964882329377073), (0.9925, 0.9925619834710744, 0.9925, 0.9923694562698712), (0.9979989994997499, 0.9980034363079544, 0.9979989994997499, 0.9979899525699344)]"
256,8,50,relu,0.2,Adam,"[(0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.9955, 0.9955223880597015, 0.9955, 0.9954538206912388), (0.9945, 0.994481162778028, 0.9945, 0.9944563546567283), (0.992, 0.9920704845814978, 0.992, 0.9918510324483776), (0.9984992496248124, 0.998501746713623, 0.9984992496248124, 0.998494175364751)]"
256,8,50,relu,0.3,Adam,"[(0.9975, 0.9975069252077562, 0.9975, 0.9974859109183799), (0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9955, 0.995497360581045, 0.9955, 0.9954642901736869), (0.9945, 0.9944726187939484, 0.9945, 0.9944690040204357), (1.0, 1.0, 1.0, 1.0)]"
256,8,50,relu,0.5,Adam,"[(0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9935, 0.9935466078323222, 0.9935, 0.9934025207565845), (0.994, 0.9940318725977159, 0.994, 0.994013257780027), (0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9934967483741871, 0.9935433795220832, 0.9934967483741871, 0.9933986529499342)]"
256,16,5,relu,0.2,Adam,"[(0.995, 0.9950276243093923, 0.995, 0.9949428226436537), (0.997, 0.9969953391556179, 0.997, 0.9969865133017187), (0.9925, 0.9925619834710744, 0.9925, 0.9923694562698712), (0.994, 0.994, 0.994, 0.994), (0.9989994997498749, 0.9990094549762444, 0.9989994997498749, 0.99900172292928)]"
256,16,5,relu,0.3,Adam,"[(0.9905, 0.9905992303463441, 0.9905, 0.9902880611877093), (0.993, 0.9930540242557884, 0.993, 0.9928866153788806), (0.993, 0.992954755625578, 0.993, 0.9929525241349021), (0.9965, 0.996495489736487, 0.9965, 0.9964802752857319), (0.9979989994997499, 0.9979955864679722, 0.9979989994997499, 0.9979945019930311)]"
256,16,5,relu,0.5,Adam,"[(0.9885, 0.9886450905101482, 0.9885, 0.9881857071421825), (0.995, 0.9949823612014933, 0.995, 0.9949660886677871), (0.989, 0.989132821075741, 0.989, 0.9887133011373762), (0.99, 0.99004460885649, 0.99, 0.9897892735276498), (0.9979989994997499, 0.9980034363079544, 0.9979989994997499, 0.9979899525699344)]"
256,16,10,relu,0.2,Adam,"[(0.993, 0.9930111314639989, 0.993, 0.9929033804842964), (0.99, 0.9901098901098901, 0.99, 0.9897644664146554), (0.993, 0.9930111314639989, 0.993, 0.9929033804842964), (0.994, 0.9940040709508579, 0.994, 0.9939313871723845), (0.9989994997498749, 0.9989994997498749, 0.9989994997498749, 0.9989994997498749)]"
256,16,10,relu,0.3,Adam,"[(0.993, 0.993, 0.993, 0.993), (0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9945, 0.994475366774496, 0.9945, 0.9944815089021114), (0.9945, 0.9945013154124666, 0.9945, 0.994443558622625), (0.9959979989994997, 0.9960157069685285, 0.9959979989994997, 0.9959613896435966)]"
256,16,10,relu,0.5,Adam,"[(0.9925, 0.9925619834710744, 0.9925, 0.9923694562698712), (0.994, 0.9939786320474444, 0.994, 0.9939865903643705), (0.991, 0.9910891089108911, 0.991, 0.9908103461748847), (0.995, 0.9950276243093923, 0.995, 0.9949428226436537), (0.9939969984992496, 0.9940367534760757, 0.9939969984992496, 0.9939136593583833)]"
256,16,50,relu,0.2,Adam,"[(0.996, 0.9959961639894509, 0.996, 0.9959728709342297), (0.998, 0.9979966143118197, 0.998, 0.9979955301214568), (0.9935, 0.9934685845080535, 0.9935, 0.9934781468843135), (0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.9954977488744372, 0.9955398201919188, 0.9954977488744372, 0.9955127127102577)]"
256,16,50,relu,0.3,Adam,"[(0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9955, 0.9955223880597015, 0.9955, 0.9954538206912388), (0.993, 0.9930111314639989, 0.993, 0.9929033804842964), (0.996, 0.9959862437214354, 0.996, 0.9959820177356248), (0.9969984992496248, 0.9969937837188536, 0.9969984992496248, 0.9969849288549016)]"
256,16,50,relu,0.5,Adam,"[(0.994, 0.9940397350993377, 0.994, 0.993917183272254), (0.995, 0.9949990781710913, 0.995, 0.9949545228290873), (0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.992, 0.9919569642337889, 0.992, 0.9919085162298459), (0.9979989994997499, 0.9979955864679722, 0.9979989994997499, 0.9979945019930311)]"
256,32,5,relu,0.2,Adam,"[(0.994, 0.9939804572271387, 0.994, 0.9939454273949048), (0.9975, 0.9974957135738236, 0.9975, 0.9974915949555052), (0.9925, 0.9924497478514099, 0.9925, 0.9924577327551397), (0.993, 0.9929805175923233, 0.993, 0.992919951701115), (0.9974987493746873, 0.9975056780467796, 0.9974987493746873, 0.9974845726816428)]"
256,32,5,relu,0.3,Adam,"[(0.993, 0.9930540242557884, 0.993, 0.9928866153788806), (0.995, 0.9949823612014933, 0.995, 0.9949660886677871), (0.996, 0.9959862437214354, 0.996, 0.9959820177356248), (0.9905, 0.9905992303463441, 0.9905, 0.9902880611877093), (0.9944972486243121, 0.9944984406316801, 0.9944972486243121, 0.9944404534034)]"
256,32,5,relu,0.5,Adam,"[(0.9895, 0.9894959865989396, 0.9895, 0.9892916464245214), (0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.9915, 0.9914552163585847, 0.9915, 0.9913927666036154), (0.9905, 0.9905377566456448, 0.9905, 0.9903114896221858), (0.9904952476238119, 0.9905327678202833, 0.9904952476238119, 0.9903055356419274)]"
