Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.9205397301349325, 0.9133984804637851, 0.9205397301349325, 0.9018874886368918), (0.9145427286356822, 0.901477379703383, 0.9145427286356822, 0.8944827707981666), (0.9280359820089955, 0.9232744738741742, 0.9280359820089955, 0.9138851987870169), (0.9324324324324325, 0.925404609615136, 0.9324324324324325, 0.9244885821902936), (0.9204204204204204, 0.9090193967041257, 0.9204204204204204, 0.9061134997909027)]"
32,8,35,relu,0.5,Adam,"[(0.8995502248875562, 0.8604964435075696, 0.8995502248875562, 0.8548176504633058), (0.9145427286356822, 0.901477379703383, 0.9145427286356822, 0.8944827707981666), (0.9205397301349325, 0.9218684148709055, 0.9205397301349325, 0.8977469313362734), (0.9204204204204204, 0.9147313749933127, 0.9204204204204204, 0.8999187026075086), (0.9099099099099099, 0.918099918099918, 0.9099099099099099, 0.8745173745173745)]"
32,8,60,relu,0.2,Adam,"[(0.9160419790104948, 0.9050662638605509, 0.9160419790104948, 0.8956481922470839), (0.9100449775112444, 0.8959514107976687, 0.9100449775112444, 0.8833907288543839), (0.9160419790104948, 0.9049598635387136, 0.9160419790104948, 0.9077060400281144), (0.9129129129129129, 0.8987876765654542, 0.9129129129129129, 0.8897056397056398), (0.9069069069069069, 0.8853169940126462, 0.9069069069069069, 0.8852799745082703)]"
32,8,60,relu,0.5,Adam,"[(0.9100449775112444, 0.9182227068284039, 0.9100449775112444, 0.8757185114006705), (0.9085457271364318, 0.8927788348223613, 0.9085457271364318, 0.8805596905960131), (0.9010494752623688, 0.9108553831192512, 0.9010494752623688, 0.8556086467499454), (0.9309309309309309, 0.9325443455878238, 0.9309309309309309, 0.9148851423771037), (0.9114114114114115, 0.9094574026080875, 0.9114114114114115, 0.8797563195653889)]"
32,8,100,relu,0.2,Adam,"[(0.9235382308845578, 0.9136479039930642, 0.9235382308845578, 0.9129946080409118), (0.9100449775112444, 0.8984181162770767, 0.9100449775112444, 0.8816219880490377), (0.9205397301349325, 0.9154155148082838, 0.9205397301349325, 0.9005737708531458), (0.9279279279279279, 0.9294996234624718, 0.9279279279279279, 0.9099832222382522), (0.9099099099099099, 0.8943079801975508, 0.9099099099099099, 0.8825015110957604)]"
32,8,100,relu,0.5,Adam,"[(0.9160419790104948, 0.9232091271437451, 0.9160419790104948, 0.887774877872186), (0.9130434782608695, 0.9075204811144182, 0.9130434782608695, 0.8855679217807364), (0.9280359820089955, 0.9270116494547757, 0.9280359820089955, 0.9117174531705209), (0.9129129129129129, 0.9205892822914099, 0.9129129129129129, 0.8807917615548776), (0.9174174174174174, 0.9243518327487792, 0.9174174174174174, 0.8897332164264437)]"
32,32,35,relu,0.2,Adam,"[(0.9220389805097451, 0.9115941025758987, 0.9220389805097451, 0.9098596244827343), (0.9220389805097451, 0.9115198277895411, 0.9220389805097451, 0.9108222817544627), (0.9115442278860569, 0.8962225745226077, 0.9115442278860569, 0.898277247153687), (0.9114114114114115, 0.8954926490471514, 0.9114114114114115, 0.897832138708051), (0.918918918918919, 0.9065272819989801, 0.918918918918919, 0.9048970086591447)]"
32,32,35,relu,0.5,Adam,"[(0.9205397301349325, 0.9269890322832459, 0.9205397301349325, 0.8962239934686672), (0.9130434782608695, 0.8988904486279639, 0.9130434782608695, 0.8919213419701939), (0.9025487256371814, 0.9120740381688854, 0.9025487256371814, 0.8591514519420131), (0.924924924924925, 0.9152724152724152, 0.924924924924925, 0.9148000224040396), (0.9234234234234234, 0.9247637921615988, 0.9234234234234234, 0.9023215967759554)]"
32,32,60,relu,0.2,Adam,"[(0.9355322338830585, 0.9321958115430475, 0.9355322338830585, 0.9250499274960727), (0.9130434782608695, 0.8999915247054834, 0.9130434782608695, 0.890448782764253), (0.9235382308845578, 0.9142157492682231, 0.9235382308845578, 0.9155499015143242), (0.9264264264264265, 0.9176620522961986, 0.9264264264264265, 0.9185821335354045), (0.9174174174174174, 0.9054946487497707, 0.9174174174174174, 0.8988961119815252)]"
32,32,60,relu,0.5,Adam,"[(0.9175412293853074, 0.9244652482918845, 0.9175412293853074, 0.8906440924476994), (0.9115442278860569, 0.9194636369220548, 0.9115442278860569, 0.8788242574503058), (0.9325337331334332, 0.9319288513669481, 0.9325337331334332, 0.9187766076411771), (0.9099099099099099, 0.918099918099918, 0.9099099099099099, 0.8745173745173745), (0.918918918918919, 0.9155405405405406, 0.918918918918919, 0.895820698747528)]"
32,32,100,relu,0.2,Adam,"[(0.9310344827586207, 0.9303126007089912, 0.9310344827586207, 0.9164584374479426), (0.9085457271364318, 0.8925685730827139, 0.9085457271364318, 0.89593472726462), (0.9250374812593704, 0.9160568840902176, 0.9250374812593704, 0.9133265620026292), (0.9294294294294294, 0.9214267635320268, 0.9294294294294294, 0.921132519176529), (0.918918918918919, 0.9065272819989801, 0.918918918918919, 0.9048970086591447)]"
32,32,100,relu,0.5,Adam,"[(0.9280359820089955, 0.9270116494547757, 0.9280359820089955, 0.9117174531705209), (0.9130434782608695, 0.9207083388396986, 0.9130434782608695, 0.8818672623356968), (0.9220389805097451, 0.9235110951311674, 0.9220389805097451, 0.9003955165274505), (0.9174174174174174, 0.9243518327487792, 0.9174174174174174, 0.8897332164264437), (0.9174174174174174, 0.9103288006578137, 0.9174174174174174, 0.8946605455426971)]"
32,64,35,relu,0.2,Adam,"[(0.9235382308845578, 0.9137245567347354, 0.9235382308845578, 0.9120701627938652), (0.9130434782608695, 0.9004468777845163, 0.9130434782608695, 0.9034985407423167), (0.9085457271364318, 0.8918470789695758, 0.9085457271364318, 0.8948290182436426), (0.9234234234234234, 0.9169141418110246, 0.9234234234234234, 0.9062491220192325), (0.9129129129129129, 0.8987876765654542, 0.9129129129129129, 0.8897056397056398)]"
32,64,35,relu,0.5,Adam,"[(0.9160419790104948, 0.9232091271437451, 0.9160419790104948, 0.887774877872186), (0.9085457271364318, 0.9169855314400289, 0.9085457271364318, 0.872547398750192), (0.9280359820089955, 0.9297695247908996, 0.9280359820089955, 0.9105555933546433), (0.924924924924925, 0.9306999306999308, 0.924924924924925, 0.9035376840254888), (0.9159159159159159, 0.9159779045100146, 0.9159159159159159, 0.8886203096729411)]"
32,64,60,relu,0.2,Adam,"[(0.9175412293853074, 0.9184364829180246, 0.9175412293853074, 0.8923079177505038), (0.9115442278860569, 0.898888689295905, 0.9115442278860569, 0.8861711122422666), (0.9130434782608695, 0.8997720639925016, 0.9130434782608695, 0.9025500156319726), (0.9129129129129129, 0.8971238319064406, 0.9129129129129129, 0.8926812664754786), (0.918918918918919, 0.9071595634095635, 0.918918918918919, 0.9026003563170464)]"
32,64,60,relu,0.5,Adam,"[(0.9085457271364318, 0.9169855314400289, 0.9085457271364318, 0.872547398750192), (0.9145427286356822, 0.9147210745772152, 0.9145427286356822, 0.886667513991252), (0.9175412293853074, 0.9142085063459054, 0.9175412293853074, 0.8938883249716045), (0.9279279279279279, 0.9332665999332665, 0.9279279279279279, 0.9087219087219087), (0.9144144144144144, 0.9031113049059211, 0.9144144144144144, 0.8908300199260678)]"
32,64,100,relu,0.2,Adam,"[(0.9310344827586207, 0.9243998254037539, 0.9310344827586207, 0.9211120184751016), (0.9085457271364318, 0.893349618388028, 0.9085457271364318, 0.896995324260455), (0.904047976011994, 0.8797546927893518, 0.904047976011994, 0.8774098664953237), (0.9174174174174174, 0.9050258525616237, 0.9174174174174174, 0.9067660406897452), (0.918918918918919, 0.9104510082838255, 0.918918918918919, 0.8987311250180339)]"
32,64,100,relu,0.5,Adam,"[(0.9160419790104948, 0.9232091271437451, 0.9160419790104948, 0.887774877872186), (0.9160419790104948, 0.9121040706640545, 0.9160419790104948, 0.8911646802640915), (0.9205397301349325, 0.9181500672365409, 0.9205397301349325, 0.8991951441036417), (0.9069069069069069, 0.9002184002184002, 0.9069069069069069, 0.8703346203346203), (0.9114114114114115, 0.9193427114519678, 0.9114114114114115, 0.8776876586075015)]"
64,8,35,relu,0.2,Adam,"[(0.9130434782608695, 0.8981906562246826, 0.9130434782608695, 0.8933252559143793), (0.9010494752623688, 0.8751338616406084, 0.9010494752623688, 0.8786114981094661), (0.9160419790104948, 0.9039548548707013, 0.9160419790104948, 0.8970036953656078), (0.924924924924925, 0.918932951643232, 0.924924924924925, 0.9086767927347638), (0.9129129129129129, 0.9003811503811504, 0.9129129129129129, 0.8881037134695672)]"
64,8,35,relu,0.5,Adam,"[(0.904047976011994, 0.9132963638662596, 0.904047976011994, 0.8626133587817303), (0.9070464767616192, 0.891699937171104, 0.9070464767616192, 0.8757507576442058), (0.9190404797601199, 0.9086359623926354, 0.9190404797601199, 0.901929470047585), (0.9234234234234234, 0.9294225100676713, 0.9234234234234234, 0.9008768960807331), (0.9069069069069069, 0.9156255953839035, 0.9069069069069069, 0.86796672153249)]"
64,8,60,relu,0.2,Adam,"[(0.9325337331334332, 0.9301121572010774, 0.9325337331334332, 0.919747211904434), (0.9190404797601199, 0.9071897404918964, 0.9190404797601199, 0.9053493859371088), (0.9175412293853074, 0.9049735656286717, 0.9175412293853074, 0.905173704973776), (0.9219219219219219, 0.9168005466767077, 0.9219219219219219, 0.90248182409144), (0.9234234234234234, 0.9187991978689654, 0.9234234234234234, 0.9050030504122734)]"
64,8,60,relu,0.5,Adam,"[(0.9160419790104948, 0.9166228459517594, 0.9160419790104948, 0.8895138555124351), (0.9070464767616192, 0.9157520937416488, 0.9070464767616192, 0.8693081483558273), (0.9235382308845578, 0.9295283233959057, 0.9235382308845578, 0.9016055377009425), (0.9279279279279279, 0.9244653532036711, 0.9279279279279279, 0.9123297210253732), (0.9099099099099099, 0.918099918099918, 0.9099099099099099, 0.8745173745173745)]"
64,8,100,relu,0.2,Adam,"[(0.9265367316341829, 0.92139523661906, 0.9265367316341829, 0.9115567505426149), (0.9160419790104948, 0.9232091271437451, 0.9160419790104948, 0.887774877872186), (0.9220389805097451, 0.9118444429641541, 0.9220389805097451, 0.9088549642357343), (0.924924924924925, 0.9153657512692043, 0.924924924924925, 0.9156745695833642), (0.9069069069069069, 0.8892441221709515, 0.9069069069069069, 0.8746847752881947)]"
64,8,100,relu,0.5,Adam,"[(0.8995502248875562, 0.8604964435075696, 0.8995502248875562, 0.8548176504633058), (0.9025487256371814, 0.9120740381688854, 0.9025487256371814, 0.8591514519420131), (0.9175412293853074, 0.9244652482918845, 0.9175412293853074, 0.8906440924476994), (0.918918918918919, 0.908930669800235, 0.918918918918919, 0.900082558442687), (0.9129129129129129, 0.9118105910788837, 0.9129129129129129, 0.8827696284954079)]"
64,32,35,relu,0.2,Adam,"[(0.9280359820089955, 0.9205196656045362, 0.9280359820089955, 0.9167934995225241), (0.9190404797601199, 0.9162183614075315, 0.9190404797601199, 0.8965645748554295), (0.9145427286356822, 0.901477379703383, 0.9145427286356822, 0.8944827707981666), (0.9174174174174174, 0.9081232049588025, 0.9174174174174174, 0.8961420498757166), (0.9159159159159159, 0.901940401940402, 0.9159159159159159, 0.8989929621065665)]"
64,32,35,relu,0.5,Adam,"[(0.9055472263868066, 0.9145223768206394, 0.9055472263868066, 0.8659978331064637), (0.9130434782608695, 0.9207083388396986, 0.9130434782608695, 0.8818672623356968), (0.9250374812593704, 0.9308038288548035, 0.9250374812593704, 0.9042264581994717), (0.9144144144144144, 0.9218396478670451, 0.9144144144144144, 0.8838323765292738), (0.9129129129129129, 0.9063421219384522, 0.9129129129129129, 0.884642463589832)]"
64,32,60,relu,0.2,Adam,"[(0.9235382308845578, 0.9137173317784251, 0.9235382308845578, 0.9138813366767737), (0.9100449775112444, 0.892426457578664, 0.9100449775112444, 0.8896468164631512), (0.9190404797601199, 0.9112420790931381, 0.9190404797601199, 0.8993750425239737), (0.9174174174174174, 0.9043738574255007, 0.9174174174174174, 0.9014014404938407), (0.9129129129129129, 0.8970876536914272, 0.9129129129129129, 0.8978523426338959)]"
64,32,60,relu,0.5,Adam,"[(0.9235382308845578, 0.9251166661148111, 0.9235382308845578, 0.9029991009299192), (0.9160419790104948, 0.9050662638605509, 0.9160419790104948, 0.8956481922470839), (0.9025487256371814, 0.8880531453730148, 0.9025487256371814, 0.8617437960622244), (0.9204204204204204, 0.9175462964097062, 0.9204204204204204, 0.8984910711593264), (0.9129129129129129, 0.9118105910788837, 0.9129129129129129, 0.8827696284954079)]"
64,32,100,relu,0.2,Adam,"[(0.9190404797601199, 0.9112420790931381, 0.9190404797601199, 0.8993750425239737), (0.9025487256371814, 0.8908320980866594, 0.9025487256371814, 0.8952578673747622), (0.9070464767616192, 0.8917559838405148, 0.9070464767616192, 0.8958293270548674), (0.9114114114114115, 0.8958938091540285, 0.9114114114114115, 0.8869994943094386), (0.9174174174174174, 0.9081232049588025, 0.9174174174174174, 0.8961420498757166)]"
64,32,100,relu,0.5,Adam,"[(0.9130434782608695, 0.9127060638195315, 0.9130434782608695, 0.8837668377961925), (0.9160419790104948, 0.9066665497660528, 0.9160419790104948, 0.894226410944796), (0.9220389805097451, 0.9154832521627384, 0.9220389805097451, 0.9043605742680642), (0.9084084084084084, 0.9168608850908397, 0.9084084084084084, 0.8712780645407334), (0.9159159159159159, 0.9112284940505799, 0.9159159159159159, 0.8903347436893762)]"
64,64,35,relu,0.2,Adam,"[(0.9265367316341829, 0.9181000522877676, 0.9265367316341829, 0.9155183917039096), (0.9175412293853074, 0.9063370725212821, 0.9175412293853074, 0.8994854901636025), (0.9220389805097451, 0.9115941025758987, 0.9220389805097451, 0.9098596244827343), (0.9264264264264265, 0.9183937560749156, 0.9264264264264265, 0.9200994606400011), (0.9174174174174174, 0.9081232049588025, 0.9174174174174174, 0.8961420498757166)]"
64,64,35,relu,0.5,Adam,"[(0.9295352323838081, 0.926662043993004, 0.9295352323838081, 0.9151666790918959), (0.9115442278860569, 0.8957504515458806, 0.9115442278860569, 0.8971615284248441), (0.9280359820089955, 0.9248934411299025, 0.9280359820089955, 0.9128261955978534), (0.9129129129129129, 0.9205892822914099, 0.9129129129129129, 0.8807917615548776), (0.9144144144144144, 0.9218396478670451, 0.9144144144144144, 0.8838323765292738)]"
64,64,60,relu,0.2,Adam,"[(0.9145427286356822, 0.9065485978209052, 0.9145427286356822, 0.8900297186069356), (0.9070464767616192, 0.8866622589326454, 0.9070464767616192, 0.8859683770119228), (0.9160419790104948, 0.902535038019639, 0.9160419790104948, 0.9018438076384829), (0.9174174174174174, 0.9054946487497707, 0.9174174174174174, 0.8988961119815252), (0.9234234234234234, 0.9145342525624216, 0.9234234234234234, 0.9085722448215613)]"
64,64,60,relu,0.5,Adam,"[(0.9190404797601199, 0.9257252107891009, 0.9190404797601199, 0.8934597892441338), (0.9160419790104948, 0.9032168028135467, 0.9160419790104948, 0.8982972281974956), (0.9070464767616192, 0.9157520937416488, 0.9070464767616192, 0.8693081483558273), (0.9204204204204204, 0.9214320311094505, 0.9204204204204204, 0.8969897155348793), (0.9219219219219219, 0.9148340887471322, 0.9219219219219219, 0.9037832044262911)]"
64,64,100,relu,0.2,Adam,"[(0.9205397301349325, 0.9181500672365409, 0.9205397301349325, 0.8991951441036417), (0.9205397301349325, 0.9096658891904126, 0.9205397301349325, 0.9065733074507343), (0.9130434782608695, 0.8978803355473816, 0.9130434782608695, 0.8983382293398575), (0.924924924924925, 0.915544092988888, 0.924924924924925, 0.9129359571591571), (0.9219219219219219, 0.9123787248787248, 0.9219219219219219, 0.9062077505275259)]"
64,64,100,relu,0.5,Adam,"[(0.9115442278860569, 0.9194636369220548, 0.9115442278860569, 0.8788242574503058), (0.9100449775112444, 0.8923784836553686, 0.9100449775112444, 0.8910327444973167), (0.9085457271364318, 0.9169855314400289, 0.9085457271364318, 0.872547398750192), (0.9174174174174174, 0.9178767647374079, 0.9174174174174174, 0.8914622240412498), (0.9129129129129129, 0.9003811503811504, 0.9129129129129129, 0.8881037134695672)]"
128,8,35,relu,0.2,Adam,"[(0.9340329835082459, 0.9318005574015501, 0.9340329835082459, 0.921989429356404), (0.9100449775112444, 0.8984181162770767, 0.9100449775112444, 0.8816219880490377), (0.9100449775112444, 0.9182227068284039, 0.9100449775112444, 0.8757185114006705), (0.9024024024024024, 0.88917032975004, 0.9024024024024024, 0.8940094886040831), (0.9129129129129129, 0.9003811503811504, 0.9129129129129129, 0.8881037134695672)]"
128,8,35,relu,0.5,Adam,"[(0.904047976011994, 0.9132963638662596, 0.904047976011994, 0.8626133587817303), (0.9100449775112444, 0.9182227068284039, 0.9100449775112444, 0.8757185114006705), (0.9145427286356822, 0.9147210745772152, 0.9145427286356822, 0.886667513991252), (0.9144144144144144, 0.9218396478670451, 0.9144144144144144, 0.8838323765292738), (0.9174174174174174, 0.9081232049588025, 0.9174174174174174, 0.8961420498757166)]"
128,8,60,relu,0.2,Adam,"[(0.9190404797601199, 0.9112420790931381, 0.9190404797601199, 0.8993750425239737), (0.9160419790104948, 0.9166228459517594, 0.9160419790104948, 0.8895138555124351), (0.9160419790104948, 0.9029331627133991, 0.9160419790104948, 0.9039624572740369), (0.9219219219219219, 0.9148340887471322, 0.9219219219219219, 0.9037832044262911), (0.9114114114114115, 0.8958938091540285, 0.9114114114114115, 0.8869994943094386)]"
128,8,60,relu,0.5,Adam,"[(0.9100449775112444, 0.9022030004953179, 0.9100449775112444, 0.8797587977201992), (0.9115442278860569, 0.9105426738685451, 0.9115442278860569, 0.8808096649068765), (0.9145427286356822, 0.9147210745772152, 0.9145427286356822, 0.886667513991252), (0.9219219219219219, 0.9194750305861417, 0.9219219219219219, 0.9011154011154011), (0.9009009009009009, 0.8644553644553645, 0.9009009009009009, 0.861969111969112)]"
128,8,100,relu,0.2,Adam,"[(0.9160419790104948, 0.9066665497660528, 0.9160419790104948, 0.894226410944796), (0.904047976011994, 0.9132963638662596, 0.904047976011994, 0.8626133587817303), (0.9250374812593704, 0.9181485646065857, 0.9250374812593704, 0.9102970820698094), (0.9129129129129129, 0.8987876765654542, 0.9129129129129129, 0.8897056397056398), (0.9054054054054054, 0.8828141118217454, 0.9054054054054054, 0.8736944115430171)]"
128,8,100,relu,0.5,Adam,"[(0.9100449775112444, 0.9182227068284039, 0.9100449775112444, 0.8757185114006705), (0.9010494752623688, 0.8728545093012408, 0.9010494752623688, 0.8608764159916872), (0.9115442278860569, 0.9194636369220548, 0.9115442278860569, 0.8788242574503058), (0.9099099099099099, 0.918099918099918, 0.9099099099099099, 0.8745173745173745), (0.8978978978978979, 0.8113535221968956, 0.8978978978978979, 0.8524347131942069)]"
128,32,35,relu,0.2,Adam,"[(0.9280359820089955, 0.9220530800430506, 0.9280359820089955, 0.9148975592978954), (0.9085457271364318, 0.8901502468081853, 0.9085457271364318, 0.8912128872482327), (0.9160419790104948, 0.9026685395472611, 0.9160419790104948, 0.9029257494429447), (0.9099099099099099, 0.8968913968913969, 0.9099099099099099, 0.9007831360772537), (0.9219219219219219, 0.9168005466767077, 0.9219219219219219, 0.90248182409144)]"
128,32,35,relu,0.5,Adam,"[(0.9115442278860569, 0.9105426738685451, 0.9115442278860569, 0.8808096649068765), (0.9190404797601199, 0.9112420790931381, 0.9190404797601199, 0.8993750425239737), (0.9220389805097451, 0.9123056026845511, 0.9220389805097451, 0.9078056892393868), (0.924924924924925, 0.9231500850695896, 0.924924924924925, 0.906232523164846), (0.918918918918919, 0.9155405405405406, 0.918918918918919, 0.895820698747528)]"
128,32,60,relu,0.2,Adam,"[(0.9115442278860569, 0.9105426738685451, 0.9115442278860569, 0.8808096649068765), (0.9085457271364318, 0.8991285179328145, 0.9085457271364318, 0.8767693145647367), (0.9160419790104948, 0.9039548548707013, 0.9160419790104948, 0.8970036953656078), (0.9069069069069069, 0.8930762069059942, 0.9069069069069069, 0.8725705037310761), (0.9159159159159159, 0.901940401940402, 0.9159159159159159, 0.8989929621065665)]"
128,32,60,relu,0.5,Adam,"[(0.9190404797601199, 0.9201804005972473, 0.9190404797601199, 0.8950516559689454), (0.9115442278860569, 0.904976900862546, 0.9115442278860569, 0.8826909355348044), (0.9070464767616192, 0.8956519713800648, 0.9070464767616192, 0.8737201769795381), (0.8978978978978979, 0.8113535221968956, 0.8978978978978979, 0.8524347131942069), (0.9159159159159159, 0.9112284940505799, 0.9159159159159159, 0.8903347436893762)]"
128,32,100,relu,0.2,Adam,"[(0.9190404797601199, 0.9112420790931381, 0.9190404797601199, 0.8993750425239737), (0.9130434782608695, 0.9075204811144182, 0.9130434782608695, 0.8855679217807364), (0.9175412293853074, 0.9063370725212821, 0.9175412293853074, 0.8994854901636025), (0.9324324324324325, 0.9272666112899793, 0.9324324324324325, 0.921199842523771), (0.9129129129129129, 0.9063421219384522, 0.9129129129129129, 0.884642463589832)]"
128,32,100,relu,0.5,Adam,"[(0.9070464767616192, 0.9157520937416488, 0.9070464767616192, 0.8693081483558273), (0.9100449775112444, 0.8933164996449144, 0.9100449775112444, 0.8866711545837099), (0.9175412293853074, 0.9184364829180246, 0.9175412293853074, 0.8923079177505038), (0.9039039039039038, 0.8773874663445215, 0.9039039039039038, 0.8746682785021445), (0.9069069069069069, 0.8930762069059942, 0.9069069069069069, 0.8725705037310761)]"
128,64,35,relu,0.2,Adam,"[(0.9295352323838081, 0.9232109229015961, 0.9295352323838081, 0.9249081503956532), (0.9085457271364318, 0.8895562789429808, 0.9085457271364318, 0.8870780529594414), (0.9070464767616192, 0.8879369092883025, 0.9070464767616192, 0.8900760140931149), (0.918918918918919, 0.9083011583011583, 0.918918918918919, 0.9107048224695283), (0.9144144144144144, 0.9031113049059211, 0.9144144144144144, 0.8908300199260678)]"
128,64,35,relu,0.5,Adam,"[(0.9100449775112444, 0.9022030004953179, 0.9100449775112444, 0.8797587977201992), (0.9115442278860569, 0.904976900862546, 0.9115442278860569, 0.8826909355348044), (0.9220389805097451, 0.9154832521627384, 0.9220389805097451, 0.9043605742680642), (0.924924924924925, 0.9263708152597043, 0.924924924924925, 0.9049186549186549), (0.9234234234234234, 0.9187991978689654, 0.9234234234234234, 0.9050030504122734)]"
128,64,60,relu,0.2,Adam,"[(0.9175412293853074, 0.907437930083584, 0.9175412293853074, 0.8981851297175293), (0.9100449775112444, 0.8925190182686435, 0.9100449775112444, 0.8923564984837711), (0.9220389805097451, 0.9154832521627384, 0.9220389805097451, 0.9043605742680642), (0.9144144144144144, 0.8994206687186406, 0.9144144144144144, 0.896547927974197), (0.9219219219219219, 0.9148340887471322, 0.9219219219219219, 0.9037832044262911)]"
128,64,60,relu,0.5,Adam,"[(0.9205397301349325, 0.9269890322832459, 0.9205397301349325, 0.8962239934686672), (0.9115442278860569, 0.8955168293231819, 0.9115442278860569, 0.8907804118788041), (0.896551724137931, 0.8534718941898912, 0.896551724137931, 0.8606079131961776), (0.924924924924925, 0.9231500850695896, 0.924924924924925, 0.906232523164846), (0.9159159159159159, 0.901940401940402, 0.9159159159159159, 0.8989929621065665)]"
128,64,100,relu,0.2,Adam,"[(0.9160419790104948, 0.9089256276838955, 0.9160419790104948, 0.8927336331834084), (0.9055472263868066, 0.8858634262146792, 0.9055472263868066, 0.8889456296112502), (0.9205397301349325, 0.9096437891003456, 0.9205397301349325, 0.91050413419351), (0.918918918918919, 0.9066430540741784, 0.918918918918919, 0.906998946998947), (0.9174174174174174, 0.9081232049588025, 0.9174174174174174, 0.8961420498757166)]"
128,64,100,relu,0.5,Adam,"[(0.9190404797601199, 0.9133415748266217, 0.9190404797601199, 0.898004039125339), (0.9175412293853074, 0.9142085063459054, 0.9175412293853074, 0.8938883249716045), (0.9145427286356822, 0.9007526757616526, 0.9145427286356822, 0.8958304170786426), (0.9159159159159159, 0.9056834612390169, 0.9159159159159159, 0.8935088935088935), (0.9294294294294294, 0.9246946476993425, 0.9294294294294294, 0.9157430491492821)]"
512,8,35,relu,0.2,Adam,"[(0.9160419790104948, 0.9166228459517594, 0.9160419790104948, 0.8895138555124351), (0.9145427286356822, 0.9042168694800006, 0.9145427286356822, 0.8915872304510865), (0.9100449775112444, 0.9081801551098817, 0.9100449775112444, 0.8777937196576173), (0.9234234234234234, 0.9142306291509323, 0.9234234234234234, 0.9160643010778412), (0.918918918918919, 0.9155405405405406, 0.918918918918919, 0.895820698747528)]"
512,8,35,relu,0.5,Adam,"[(0.9070464767616192, 0.9157520937416488, 0.9070464767616192, 0.8693081483558273), (0.9160419790104948, 0.9166228459517594, 0.9160419790104948, 0.8895138555124351), (0.9130434782608695, 0.9207083388396986, 0.9130434782608695, 0.8818672623356968), (0.9069069069069069, 0.9002184002184002, 0.9069069069069069, 0.8703346203346203), (0.9024024024024024, 0.9119420172051751, 0.9024024024024024, 0.8575677323243839)]"
512,8,60,relu,0.2,Adam,"[(0.904047976011994, 0.8815401644971907, 0.904047976011994, 0.8837682607971377), (0.9160419790104948, 0.902535038019639, 0.9160419790104948, 0.9018438076384829), (0.9220389805097451, 0.9200165998871909, 0.9220389805097451, 0.9017816673058819), (0.9069069069069069, 0.9156255953839035, 0.9069069069069069, 0.86796672153249), (0.9204204204204204, 0.9214320311094505, 0.9204204204204204, 0.8969897155348793)]"
512,8,60,relu,0.5,Adam,"[(0.9025487256371814, 0.9120740381688854, 0.9025487256371814, 0.8591514519420131), (0.8995502248875562, 0.8091906070952529, 0.8995502248875562, 0.8519812706117343), (0.9055472263868066, 0.8988830093274089, 0.9055472263868066, 0.8683686249387229), (0.9084084084084084, 0.9168608850908397, 0.9084084084084084, 0.8712780645407334), (0.9069069069069069, 0.9156255953839035, 0.9069069069069069, 0.86796672153249)]"
512,8,100,relu,0.2,Adam,"[(0.9190404797601199, 0.9112420790931381, 0.9190404797601199, 0.8993750425239737), (0.9100449775112444, 0.8984181162770767, 0.9100449775112444, 0.8816219880490377), (0.9190404797601199, 0.9201804005972473, 0.9190404797601199, 0.8950516559689454), (0.9174174174174174, 0.9178767647374079, 0.9174174174174174, 0.8914622240412498), (0.9114114114114115, 0.9193427114519678, 0.9114114114114115, 0.8776876586075015)]"
512,8,100,relu,0.5,Adam,"[(0.9025487256371814, 0.9120740381688854, 0.9025487256371814, 0.8591514519420131), (0.9115442278860569, 0.9194636369220548, 0.9115442278860569, 0.8788242574503058), (0.8980509745127436, 0.8090549319934628, 0.8980509745127436, 0.8512331511969133), (0.9054054054054054, 0.9143940320410908, 0.9054054054054054, 0.8645801641773964), (0.9024024024024024, 0.9119420172051751, 0.9024024024024024, 0.8575677323243839)]"
