Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.996, 0.9960176991150442, 0.996, 0.9959636182632698), (0.995, 0.9950276243093923, 0.995, 0.9949428226436537), (0.994, 0.9940040709508579, 0.994, 0.9939313871723845), (0.9975, 0.9975069252077562, 0.9975, 0.9974859109183799), (0.9959979989994997, 0.995994080905979, 0.9959979989994997, 0.9959707008925699)]"
32,8,35,relu,0.5,Adam,"[(0.9955, 0.9955113260822072, 0.9955, 0.9955049857989091), (0.997, 0.9970099667774086, 0.997, 0.9969796532006723), (0.9985, 0.9984980426842709, 0.9985, 0.998498328576231), (0.996, 0.9959961639894509, 0.996, 0.9959728709342297), (0.9919959979989995, 0.992066517840418, 0.9919959979989995, 0.9918460828894733)]"
32,8,60,relu,0.2,Adam,"[(0.996, 0.9959961639894509, 0.996, 0.9959728709342297), (0.9925, 0.9930232558139535, 0.9925, 0.9926198517921057), (0.998, 0.9980044345898005, 0.998, 0.9979910088678124), (0.9925, 0.9925619834710744, 0.9925, 0.9923694562698712), (0.9969984992496248, 0.9969937837188536, 0.9969984992496248, 0.9969849288549016)]"
32,8,60,relu,0.5,Adam,"[(0.993, 0.9930111314639989, 0.993, 0.9929033804842964), (0.999, 0.9990011098779135, 0.999, 0.9989977650607283), (0.9945, 0.994533406957482, 0.9945, 0.9944306136846924), (0.996, 0.9959961639894509, 0.996, 0.9959728709342297), (0.9929964982491246, 0.9930074645283828, 0.9929964982491246, 0.992899269251447)]"
32,8,100,relu,0.2,Adam,"[(0.9955, 0.9954821490409386, 0.9955, 0.9954848709199093), (0.996, 0.9960565963579195, 0.996, 0.9960175772860934), (0.999, 0.999, 0.999, 0.999), (0.998, 0.9980044345898005, 0.998, 0.9979910088678124), (0.9964982491245623, 0.9964917806269076, 0.9964982491245623, 0.9964943250782035)]"
32,8,100,relu,0.5,Adam,"[(0.997, 0.9969921187457258, 0.997, 0.9969932951821852), (0.999, 0.9990011098779135, 0.999, 0.9989977650607283), (0.999, 0.9990011098779135, 0.999, 0.9989977650607283), (0.997, 0.9969953391556179, 0.997, 0.9969865133017187), (0.9964982491245623, 0.9964936704866126, 0.9964982491245623, 0.9964784017542998)]"
32,32,35,relu,0.2,Adam,"[(0.997, 0.9969953391556179, 0.997, 0.9969865133017187), (0.9965, 0.996513558384062, 0.9965, 0.9964722256906453), (0.991, 0.991031411606972, 0.991, 0.9908324115044247), (0.994, 0.9939804572271387, 0.994, 0.9939454273949048), (0.9964982491245623, 0.9964917806269076, 0.9964982491245623, 0.9964943250782035)]"
32,32,35,relu,0.5,Adam,"[(0.9975, 0.9974957135738236, 0.9975, 0.9974915949555052), (0.994, 0.9940397350993377, 0.994, 0.993917183272254), (0.9985, 0.9985024958402662, 0.9985, 0.9984949569733031), (0.994, 0.9940040709508579, 0.994, 0.9939313871723845), (0.9934967483741871, 0.9934767331295917, 0.9934967483741871, 0.9934296267494728)]"
32,32,60,relu,0.2,Adam,"[(0.995, 0.9950276243093923, 0.995, 0.9949428226436537), (0.9975, 0.9974958077449991, 0.9975, 0.9974972142937181), (0.9975, 0.9974957135738236, 0.9975, 0.9974915949555052), (0.9955, 0.9955223880597015, 0.9955, 0.9954538206912388), (0.9959979989994997, 0.995994080905979, 0.9959979989994997, 0.9959707008925699)]"
32,32,60,relu,0.5,Adam,"[(0.996, 0.995987623179632, 0.996, 0.9959910602429136), (0.9975, 0.9975069252077562, 0.9975, 0.9974859109183799), (0.998, 0.9980044345898005, 0.998, 0.9979910088678124), (0.994, 0.9940397350993377, 0.994, 0.993917183272254), (0.9934967483741871, 0.9935433795220832, 0.9934967483741871, 0.9933986529499342)]"
