Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.9485, 0.9454913394895917, 0.9485, 0.9437895490254367), (0.9555, 0.9533432475137095, 0.9555, 0.952287713872202), (0.95, 0.9468468468468468, 0.95, 0.9467710371819961), (0.951, 0.9491741627280581, 0.951, 0.9459321179169824), (0.9514757378689345, 0.9487085450817317, 0.9514757378689345, 0.9476443428336866)]"
32,8,35,relu,0.5,Adam,"[(0.9085, 0.9169440242057488, 0.9085, 0.8721313272693385), (0.921, 0.9222848360655738, 0.921, 0.8983905358002613), (0.9105, 0.9113417721518988, 0.9105, 0.8777689477557027), (0.9095, 0.9133785702254625, 0.9095, 0.8749929055425375), (0.9079539769884942, 0.9164905033161742, 0.9079539769884942, 0.8706206949476595)]"
32,8,60,relu,0.2,Adam,"[(0.9415, 0.9372619984264359, 0.9415, 0.9381533646322379), (0.9495, 0.9464226784048867, 0.9495, 0.9469006264923087), (0.941, 0.9369836956521739, 0.941, 0.938046398046398), (0.946, 0.9431362279369402, 0.946, 0.9400322211301714), (0.9319659829914958, 0.9288990250395063, 0.9319659829914958, 0.9301822451576129)]"
32,8,60,relu,0.5,Adam,"[(0.905, 0.914070351758794, 0.905, 0.8644050760145746), (0.9075, 0.910607813473347, 0.9075, 0.8707338554362166), (0.9075, 0.9161209068010076, 0.9075, 0.8699640564037971), (0.916, 0.920609179582311, 0.916, 0.8880564293203699), (0.9079539769884942, 0.9164905033161742, 0.9079539769884942, 0.8706206949476595)]"
32,8,100,relu,0.2,Adam,"[(0.9485, 0.9470026462591518, 0.9485, 0.942338187820072), (0.95, 0.9475524475524476, 0.95, 0.9451738089340269), (0.949, 0.9457556967206902, 0.949, 0.9450797578966552), (0.949, 0.9468189008872687, 0.949, 0.9435457220005642), (0.951975987993997, 0.9500013448252957, 0.951975987993997, 0.947309469182654)]"
32,8,100,relu,0.5,Adam,"[(0.9195, 0.9240540843386993, 0.9195, 0.8946475347133683), (0.9195, 0.9261091279959204, 0.9195, 0.8941089957602746), (0.936, 0.936875, 0.936, 0.9233179723502304), (0.911, 0.9120645312134673, 0.911, 0.8787906073694726), (0.9044522261130565, 0.9040291639032185, 0.9044522261130565, 0.8636330234807933)]"
32,32,35,relu,0.2,Adam,"[(0.9465, 0.943120581279943, 0.9465, 0.9414267822426651), (0.9485, 0.9453897328964354, 0.9485, 0.9439604162000367), (0.95, 0.9468770665953765, 0.95, 0.9470668265818744), (0.9445, 0.94096, 0.9445, 0.938662480376766), (0.951975987993997, 0.9496855141300312, 0.951975987993997, 0.9476348116282028)]"
32,32,35,relu,0.5,Adam,"[(0.91, 0.9181818181818181, 0.91, 0.8753246753246753), (0.9005, 0.9104052026013006, 0.9005, 0.8538510396163431), (0.9035, 0.9020983313800993, 0.9035, 0.8618364572855125), (0.9085, 0.9081618903245988, 0.9085, 0.873611611681129), (0.904952476238119, 0.8994456558979002, 0.904952476238119, 0.865591865095003)]"
32,32,60,relu,0.2,Adam,"[(0.94, 0.9349954408024189, 0.94, 0.9346119544870978), (0.944, 0.939927927927928, 0.944, 0.9403835616438356), (0.9545, 0.9521684171391394, 0.9545, 0.9512155276670831), (0.942, 0.9382218998105831, 0.942, 0.9392587147938124), (0.9404702351175588, 0.9365717069573989, 0.9404702351175588, 0.9377223454833473)]"
32,32,60,relu,0.5,Adam,"[(0.916, 0.9118237590630228, 0.916, 0.8908919499292934), (0.911, 0.9152159244264508, 0.911, 0.8781098668280872), (0.912, 0.9134453781512606, 0.912, 0.8808133802161819), (0.9065, 0.9042716027409451, 0.9065, 0.8693363836030945), (0.9074537268634317, 0.9102265296793631, 0.9074537268634317, 0.8703061856804876)]"
32,32,100,relu,0.2,Adam,"[(0.937, 0.9316531453650752, 0.937, 0.932549332270281), (0.9505, 0.947435339412791, 0.9505, 0.9475236350106533), (0.946, 0.9426496863203429, 0.946, 0.9434477689459633), (0.952, 0.949257662835249, 0.952, 0.9484606381354638), (0.9414707353676839, 0.9371966629497834, 0.9414707353676839, 0.9381014082741718)]"
32,32,100,relu,0.5,Adam,"[(0.9105, 0.9146203074487036, 0.9105, 0.8770780425777452), (0.9265, 0.9306239775648517, 0.9265, 0.9070258383727322), (0.916, 0.9183751980085993, 0.916, 0.8886435274410562), (0.915, 0.9195884146341464, 0.915, 0.8861190423896332), (0.9189594797398699, 0.9198585596122358, 0.9189594797398699, 0.8945219315754569)]"
32,64,35,relu,0.2,Adam,"[(0.942, 0.9380851063829788, 0.942, 0.9353804347826088), (0.9465, 0.9428718536683758, 0.9465, 0.9432831206680798), (0.9495, 0.946294467976687, 0.9495, 0.94646350642501), (0.9465, 0.9432527026259805, 0.9465, 0.9440455496045769), (0.9379689844922461, 0.9331628829306416, 0.9379689844922461, 0.9343071307508339)]"
32,64,35,relu,0.5,Adam,"[(0.9055, 0.9144796380090497, 0.9055, 0.8655334286454053), (0.913, 0.9206686930091186, 0.913, 0.8815144139454395), (0.913, 0.9147546531302877, 0.913, 0.8828093645484949), (0.908, 0.9113465635160893, 0.908, 0.8718099738500574), (0.903951975987994, 0.913209616856621, 0.903951975987994, 0.861623327332832)]"
32,64,60,relu,0.2,Adam,"[(0.942, 0.9376201923076922, 0.942, 0.9362027737924438), (0.95, 0.9472812784949849, 0.95, 0.9455099620725815), (0.9495, 0.9464390228816408, 0.9495, 0.9453772080584717), (0.952, 0.9493215482345093, 0.952, 0.9483103603733226), (0.9524762381190596, 0.9499039883424384, 0.9524762381190596, 0.94872384091959)]"
32,64,60,relu,0.5,Adam,"[(0.9055, 0.9144796380090497, 0.9055, 0.8655334286454053), (0.9055, 0.9144796380090497, 0.9055, 0.8655334286454053), (0.921, 0.9254880089235917, 0.921, 0.8973864767192165), (0.9105, 0.9113417721518988, 0.9105, 0.8777689477557027), (0.9099549774887443, 0.9181408886261312, 0.9099549774887443, 0.8749243560181139)]"
