Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.9970014992503748, 0.9970311873766088, 0.9970014992503748, 0.997001424285982), (0.9955022488755623, 0.9955687181040022, 0.9955022488755623, 0.9955019958628296), (1.0, 1.0, 1.0, 1.0), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9969969219200451), (0.9954954954954955, 0.9955176829648196, 0.9954954954954955, 0.9954954393289035)]"
32,8,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9969969219200451), (0.993993993993994, 0.9940237266969941, 0.993993993993994, 0.993993918917042)]"
32,8,60,relu,0.2,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9954954954954955, 0.9955326983552195, 0.9954954954954955, 0.9954878183101751), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9969969219200451)]"
32,8,60,relu,0.5,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.996996996996997, 0.9970119373104448, 0.996996996996997, 0.9969931961560929), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9969969219200451)]"
32,8,100,relu,0.2,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.9984969827350777), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.996996996996997, 0.9970044671537209, 0.996996996996997, 0.996996987612554), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9969969219200451)]"
32,8,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (1.0, 1.0, 1.0, 1.0), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9969969219200451), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985022616601563)]"
32,32,35,relu,0.2,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9970014992503748, 0.9970164171645521, 0.9970014992503748, 0.9969977041078829), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (1.0, 1.0, 1.0, 1.0), (0.9894894894894894, 0.9896056656372724, 0.9894894894894894, 0.9894694385219543)]"
32,32,35,relu,0.5,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9955022488755623, 0.9955687181040022, 0.9955022488755623, 0.9955019958628296), (1.0, 1.0, 1.0, 1.0), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9970007039920631), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985022616601563)]"
32,32,60,relu,0.2,Adam,"[(0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748), (0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748), (0.9850074962518741, 0.9855421768719054, 0.9850074962518741, 0.9850514599328064), (0.9954954954954955, 0.9955620645275818, 0.9954954954954955, 0.9954952421028639), (0.996996996996997, 0.9970194074671687, 0.996996996996997, 0.9970007601586548)]"
32,32,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.996996996996997, 0.9970119373104448, 0.996996996996997, 0.9969931961560929), (0.996996996996997, 0.9970119373104448, 0.996996996996997, 0.9969931961560929)]"
