Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.712143928035982, 0.7176693874725124, 0.712143928035982, 0.7074371195966989), (0.6671664167916042, 0.6682671958484352, 0.6671664167916042, 0.6644884468603985), (0.6806596701649176, 0.6801616595309796, 0.6806596701649176, 0.6757028092330293), (0.6906906906906907, 0.6958225978008272, 0.6906906906906907, 0.6891461123858834), (0.7087087087087087, 0.7190654579317607, 0.7087087087087087, 0.7035521982439676)]"
32,8,35,relu,0.5,Adam,"[(0.6836581709145427, 0.7319881944196054, 0.6836581709145427, 0.6570717831550342), (0.6851574212893553, 0.6864940645494305, 0.6851574212893553, 0.6731233268683569), (0.7001499250374813, 0.7293573307635517, 0.7001499250374813, 0.6903298642539207), (0.7042042042042042, 0.7149901390268755, 0.7042042042042042, 0.697237698789358), (0.7087087087087087, 0.7343759258569797, 0.7087087087087087, 0.688336440537558)]"
32,8,60,relu,0.2,Adam,"[(0.7001499250374813, 0.703229931273872, 0.7001499250374813, 0.6991460902385487), (0.6611694152923538, 0.6594572065740818, 0.6611694152923538, 0.6497644691254497), (0.679160419790105, 0.6768734883036029, 0.679160419790105, 0.6719944285643095), (0.6531531531531531, 0.6607037599017337, 0.6531531531531531, 0.6493042762088471), (0.7207207207207207, 0.7327616788724757, 0.7207207207207207, 0.7146557459942914)]"
32,8,60,relu,0.5,Adam,"[(0.6821589205397302, 0.7295147586095156, 0.6821589205397302, 0.6503607389440138), (0.7016491754122939, 0.7145131906706199, 0.7016491754122939, 0.6924369030924976), (0.6551724137931034, 0.602877520645052, 0.6551724137931034, 0.6253530523096562), (0.7147147147147147, 0.7329870042408269, 0.7147147147147147, 0.7139659458986356), (0.7072072072072072, 0.7521203484884322, 0.7072072072072072, 0.6908822105100093)]"
32,8,100,relu,0.2,Adam,"[(0.6761619190404797, 0.6780005391123879, 0.6761619190404797, 0.6723657464110198), (0.6866566716641679, 0.6923798729739865, 0.6866566716641679, 0.6807664829882202), (0.7001499250374813, 0.7038078934292007, 0.7001499250374813, 0.6973546457056462), (0.7282282282282282, 0.7332068430648179, 0.7282282282282282, 0.726577789005815), (0.7117117117117117, 0.7120087019647823, 0.7117117117117117, 0.7077759489326647)]"
32,8,100,relu,0.5,Adam,"[(0.7346326836581709, 0.7422950559556462, 0.7346326836581709, 0.7246247474133533), (0.704647676161919, 0.7141351514122025, 0.704647676161919, 0.694072571327744), (0.6941529235382309, 0.7245991213713235, 0.6941529235382309, 0.681573330131354), (0.7027027027027027, 0.7240979214165264, 0.7027027027027027, 0.6951858040365025), (0.7282282282282282, 0.7515784451697194, 0.7282282282282282, 0.7143118871674545)]"
32,32,35,relu,0.2,Adam,"[(0.704647676161919, 0.7072772196623314, 0.704647676161919, 0.7027073024541766), (0.6626686656671664, 0.6616775288740951, 0.6626686656671664, 0.6600289078572518), (0.697151424287856, 0.6990791967598184, 0.697151424287856, 0.6952884243471268), (0.6411411411411412, 0.6503180812391338, 0.6411411411411412, 0.6389967207394422), (0.7312312312312312, 0.7299965591234049, 0.7312312312312312, 0.728688656941695)]"
32,32,35,relu,0.5,Adam,"[(0.719640179910045, 0.7249302317002779, 0.719640179910045, 0.7121907904885499), (0.6626686656671664, 0.6726161585188906, 0.6626686656671664, 0.6474136010709131), (0.6521739130434783, 0.6959301930879891, 0.6521739130434783, 0.618154192832961), (0.7162162162162162, 0.7274783781537391, 0.7162162162162162, 0.7145609844652079), (0.7282282282282282, 0.7419810988776506, 0.7282282282282282, 0.7172354893225741)]"
32,32,60,relu,0.2,Adam,"[(0.7106446776611695, 0.7097606170109318, 0.7106446776611695, 0.70923938885144), (0.6551724137931034, 0.6521243557631157, 0.6551724137931034, 0.6496656717752621), (0.6476761619190404, 0.6486110796183485, 0.6476761619190404, 0.6428376826049677), (0.6756756756756757, 0.6788288288288288, 0.6756756756756757, 0.672378458527748), (0.7237237237237237, 0.7275063033256678, 0.7237237237237237, 0.7178820279503642)]"
32,32,60,relu,0.5,Adam,"[(0.7376311844077961, 0.7415050936001049, 0.7376311844077961, 0.732049506406871), (0.6731634182908546, 0.6949383522877477, 0.6731634182908546, 0.6514719546335602), (0.697151424287856, 0.7225616387503966, 0.697151424287856, 0.6853872719002473), (0.7207207207207207, 0.7359457458025862, 0.7207207207207207, 0.719470608159585), (0.7207207207207207, 0.7421895774348154, 0.7207207207207207, 0.7108198026190682)]"
