Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.9685, 0.9691843957603167, 0.9685, 0.9684634927058924), (0.9605, 0.9605863055979942, 0.9605, 0.9604844580229933), (0.969, 0.969294444492531, 0.969, 0.9689167100495606), (0.958, 0.9595354357157346, 0.958, 0.9581935647339124), (0.9664832416208105, 0.9668187953591422, 0.9664832416208105, 0.9665459799279164)]"
32,8,35,relu,0.5,Adam,"[(0.9555, 0.956222914273048, 0.9555, 0.955613053574112), (0.96, 0.960974610352581, 0.96, 0.9598795877946277), (0.9465, 0.9473485950762577, 0.9465, 0.9467037840362191), (0.952, 0.952619278499697, 0.952, 0.9520096117419542), (0.9589794897448725, 0.9601750857120454, 0.9589794897448725, 0.9591914581159555)]"
32,8,60,relu,0.2,Adam,"[(0.9675, 0.9674773300233241, 0.9675, 0.9674389727617779), (0.964, 0.9642191204130581, 0.964, 0.9639975971733294), (0.962, 0.9626415403264673, 0.962, 0.9621679504971296), (0.969, 0.9699899967428994, 0.969, 0.9691137065697081), (0.9694847423711856, 0.9696385311884665, 0.9694847423711856, 0.9695311916851523)]"
32,8,60,relu,0.5,Adam,"[(0.9605, 0.9628401955952018, 0.9605, 0.9605866409150401), (0.951, 0.9548202915488453, 0.951, 0.9511922715289026), (0.9555, 0.9586077442355132, 0.9555, 0.9558768757853524), (0.9685, 0.9689782821930402, 0.9685, 0.9685593221127315), (0.959479739869935, 0.9614081920303162, 0.959479739869935, 0.9596953773270605)]"
32,8,100,relu,0.2,Adam,"[(0.9715, 0.9720799603213968, 0.9715, 0.97154491565645), (0.9685, 0.9687164836161787, 0.9685, 0.9684897907315663), (0.973, 0.9731933974167232, 0.973, 0.9730190130378067), (0.965, 0.9667597234156937, 0.965, 0.9651525222245073), (0.9714857428714357, 0.9715539774526972, 0.9714857428714357, 0.9714766840979128)]"
32,8,100,relu,0.5,Adam,"[(0.9635, 0.9641902348973052, 0.9635, 0.9635932651036737), (0.961, 0.9615066992728674, 0.961, 0.9611001464363401), (0.959, 0.9597008681333278, 0.959, 0.9590918767745858), (0.9655, 0.9664184450901037, 0.9655, 0.9653792912771981), (0.9604802401200601, 0.9613728183201364, 0.9604802401200601, 0.9606100638031877)]"
32,32,35,relu,0.2,Adam,"[(0.9565, 0.9565412182387502, 0.9565, 0.9564922212175943), (0.9595, 0.9602552623682465, 0.9595, 0.9595133295432374), (0.9645, 0.9648413721506903, 0.9645, 0.9645336225508517), (0.9595, 0.9602359959977378, 0.9595, 0.9595759829237511), (0.9604802401200601, 0.9608048671362298, 0.9604802401200601, 0.9605888024686944)]"
32,32,35,relu,0.5,Adam,"[(0.9525, 0.9541548971959752, 0.9525, 0.9525420293273937), (0.9525, 0.9529748171158671, 0.9525, 0.9524705429238602), (0.955, 0.9560658492215248, 0.955, 0.9552316580833919), (0.931, 0.9335579637736328, 0.931, 0.9316039272230416), (0.9454727363681841, 0.9471036349963247, 0.9454727363681841, 0.9458231322355855)]"
32,32,60,relu,0.2,Adam,"[(0.9555, 0.9557784283393584, 0.9555, 0.9555403636199276), (0.965, 0.9652754077058336, 0.965, 0.9650158542341799), (0.9585, 0.9590377918699396, 0.9585, 0.9585545314439345), (0.961, 0.9618139523986344, 0.961, 0.9610630614551023), (0.9749874937468734, 0.9750456529002414, 0.9749874937468734, 0.9750089266987568)]"
32,32,60,relu,0.5,Adam,"[(0.959, 0.9592793591526942, 0.959, 0.9590867443907038), (0.956, 0.9579299730042036, 0.956, 0.956072919859266), (0.96, 0.9600524265384514, 0.96, 0.9598555455870603), (0.956, 0.9565913096272362, 0.956, 0.9561717349998369), (0.9604802401200601, 0.9630690426608135, 0.9604802401200601, 0.9608409079176354)]"
