Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.6985, 0.6988663090003858, 0.6985, 0.6925659476721557), (0.7205, 0.7256824978887585, 0.7205, 0.720916505604116), (0.719, 0.7220200556986213, 0.719, 0.7192339652083105), (0.7045, 0.7147223865524522, 0.7045, 0.7029737415469962), (0.6608304152076038, 0.6829742263938896, 0.6608304152076038, 0.6657748941290843)]"
32,8,35,relu,0.5,Adam,"[(0.642, 0.6456060713831536, 0.642, 0.6054043106939224), (0.6655, 0.691856821335544, 0.6655, 0.6431523073176745), (0.6505, 0.6910473490979951, 0.6505, 0.620286865610998), (0.6625, 0.695846615972243, 0.6625, 0.6300743751843293), (0.6313156578289144, 0.6791675796848801, 0.6313156578289144, 0.606225110207529)]"
32,8,60,relu,0.2,Adam,"[(0.7025, 0.7008832122531627, 0.7025, 0.7006452409556523), (0.6995, 0.713276772119169, 0.6995, 0.7020484685802021), (0.7095, 0.7142175893351121, 0.7095, 0.7103662761889208), (0.693, 0.6973710269059107, 0.693, 0.693950066092085), (0.6928464232116058, 0.7035876468735771, 0.6928464232116058, 0.6934630298578124)]"
32,8,60,relu,0.5,Adam,"[(0.652, 0.6809327520340615, 0.652, 0.6192321953641324), (0.6465, 0.6933796966303042, 0.6465, 0.6140447992484596), (0.6245, 0.6681273600641708, 0.6245, 0.5968050194505751), (0.643, 0.6752882432140402, 0.643, 0.6052123079589234), (0.6618309154577289, 0.6846610169551535, 0.6618309154577289, 0.6336504928216734)]"
32,8,100,relu,0.2,Adam,"[(0.6965, 0.7032449320220795, 0.6965, 0.6960370463340426), (0.688, 0.6987615842623572, 0.688, 0.6920193611731242), (0.7075, 0.7155042298564858, 0.7075, 0.7100853010226198), (0.6955, 0.7105137486502682, 0.6955, 0.700144168198136), (0.7048524262131065, 0.7119700489810271, 0.7048524262131065, 0.7067163436093113)]"
32,8,100,relu,0.5,Adam,"[(0.665, 0.690919167655666, 0.665, 0.6317390124183019), (0.6605, 0.6974228383223686, 0.6605, 0.631880440562512), (0.64, 0.6682370107655542, 0.64, 0.6006565663342129), (0.6705, 0.7044130916918527, 0.6705, 0.6440267985799629), (0.6593296648324162, 0.6825816727136157, 0.6593296648324162, 0.6355404459213196)]"
32,32,35,relu,0.2,Adam,"[(0.717, 0.7145769545566004, 0.717, 0.7144663036967754), (0.717, 0.7272108928462427, 0.717, 0.7174978393162613), (0.712, 0.7172065052312744, 0.712, 0.7115543013601753), (0.6695, 0.6772464701641132, 0.6695, 0.6706139462263263), (0.7153576788394197, 0.7159444163272943, 0.7153576788394197, 0.7147756384226898)]"
32,32,35,relu,0.5,Adam,"[(0.653, 0.7029299240582427, 0.653, 0.6241088222162287), (0.6335, 0.6706242459566517, 0.6335, 0.6011048243361258), (0.6055, 0.5599823276493175, 0.6055, 0.5728571523300822), (0.6445, 0.6781238054915374, 0.6445, 0.6102363251541815), (0.6398199099549775, 0.6610255716815842, 0.6398199099549775, 0.604147139630852)]"
32,32,60,relu,0.2,Adam,"[(0.676, 0.6823134140234011, 0.676, 0.6740784519828781), (0.7085, 0.709423980676699, 0.7085, 0.7073630719042128), (0.7095, 0.7164343504275127, 0.7095, 0.712032743757948), (0.7105, 0.7193320619168572, 0.7105, 0.7110109253429057), (0.7058529264632316, 0.7075391735025015, 0.7058529264632316, 0.7062282048567449)]"
32,32,60,relu,0.5,Adam,"[(0.6635, 0.6872103441793528, 0.6635, 0.6345265665209735), (0.6505, 0.6782977141989215, 0.6505, 0.612956348212493), (0.6395, 0.6779562569869139, 0.6395, 0.6035179050060575), (0.631, 0.6661707608730527, 0.631, 0.5853698644854309), (0.6473236618309155, 0.6710981622658814, 0.6473236618309155, 0.6241161439641131)]"
32,32,100,relu,0.2,Adam,"[(0.701, 0.7005664943096821, 0.701, 0.6991613107568027), (0.689, 0.6998014515511909, 0.689, 0.6923748310690968), (0.6985, 0.7067499535601643, 0.6985, 0.7004436674551626), (0.699, 0.7027245238412995, 0.699, 0.7003907959945112), (0.6903451725862931, 0.7007535231306139, 0.6903451725862931, 0.6936997300476723)]"
32,32,100,relu,0.5,Adam,"[(0.6605, 0.687472190434953, 0.6605, 0.6396733680945392), (0.664, 0.6937384065199109, 0.664, 0.6384536789863781), (0.658, 0.6734694231328615, 0.658, 0.6289832873081642), (0.6595, 0.698784408649333, 0.6595, 0.621635792344894), (0.6598299149574788, 0.6949305609142513, 0.6598299149574788, 0.635594496996119)]"
32,64,35,relu,0.2,Adam,"[(0.666, 0.6687439806874012, 0.666, 0.6622098919123233), (0.6845, 0.6950969780140633, 0.6845, 0.6859900109864462), (0.6915, 0.7094077525269435, 0.6915, 0.6960514245890181), (0.7185, 0.7322594712159891, 0.7185, 0.7185336395397496), (0.6618309154577289, 0.6754444663590895, 0.6618309154577289, 0.6647831063840397)]"
32,64,35,relu,0.5,Adam,"[(0.6645, 0.6678367265367444, 0.6645, 0.6371969088004419), (0.666, 0.686177238357953, 0.666, 0.6332345099533486), (0.637, 0.6793585784324763, 0.637, 0.5949683834239238), (0.644, 0.6772831050228311, 0.644, 0.6102921557295248), (0.6363181590795398, 0.5728059126197579, 0.6363181590795398, 0.6023934770406004)]"
32,64,60,relu,0.2,Adam,"[(0.707, 0.7098168931779283, 0.707, 0.7076460712727805), (0.7205, 0.7256527041384188, 0.7205, 0.7223600311465783), (0.6585, 0.6677346658898834, 0.6585, 0.661237767225567), (0.697, 0.71550845428043, 0.697, 0.7004717686195849), (0.6668334167083542, 0.6744945458903326, 0.6668334167083542, 0.666039609412041)]"
32,64,60,relu,0.5,Adam,"[(0.6505, 0.6756184881694393, 0.6505, 0.6215049699159079), (0.6415, 0.6755815278233478, 0.6415, 0.6044174670847837), (0.6475, 0.6800989068278775, 0.6475, 0.6221082214075337), (0.6465, 0.6836071047165272, 0.6465, 0.6131165296431627), (0.632816408204102, 0.6711865645764915, 0.632816408204102, 0.6017241022150902)]"
