Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9984984984984985, 0.9985009968371032, 0.9984984984984985, 0.998493392681442), (1.0, 1.0, 1.0, 1.0)]"
32,32,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704)]"
32,64,35,relu,0.2,Adam,"[(0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,64,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,64,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,64,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,64,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,64,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704)]"
64,8,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,32,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,32,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,32,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,32,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
