Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.9940029985007496, 0.9940427137424666, 0.9940029985007496, 0.9939206987357331), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,60,relu,0.2,Adam,"[(0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704), (0.9984984984984985, 0.9985009968371032, 0.9984984984984985, 0.998493392681442)]"
32,8,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9970014992503748, 0.9970114610468852, 0.9970014992503748, 0.9969812779285746), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704), (1.0, 1.0, 1.0, 1.0)]"
32,32,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (0.996996996996997, 0.9970853206147323, 0.996996996996997, 0.9970169007868658)]"
32,32,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9984984984984985, 0.9985009968371032, 0.9984984984984985, 0.998493392681442), (1.0, 1.0, 1.0, 1.0)]"
32,64,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9954954954954955, 0.9956913435174305, 0.9954954954954955, 0.9955399008030585), (1.0, 1.0, 1.0, 1.0)]"
32,64,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704), (1.0, 1.0, 1.0, 1.0)]"
32,64,60,relu,0.2,Adam,"[(0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,64,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,64,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704), (0.9984984984984985, 0.9985009968371032, 0.9984984984984985, 0.998493392681442)]"
32,64,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9955022488755623, 0.9955246257468281, 0.9955022488755623, 0.9954563560769729), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704), (0.9984984984984985, 0.9985009968371032, 0.9984984984984985, 0.998493392681442)]"
64,8,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,60,relu,0.2,Adam,"[(0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,60,relu,0.5,Adam,"[(0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,8,100,relu,0.5,Adam,"[(0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985056771956902), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,32,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704), (1.0, 1.0, 1.0, 1.0)]"
64,32,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
64,32,60,relu,0.2,Adam,"[(0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985035170935704)]"
64,32,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985032442181571, 0.9985007496251874, 0.9984957375130993), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
