Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.9977777777777778, 0.9977742468379173, 0.9977777777777778, 0.9977728883155454), (0.9983333333333333, 0.9983385138099372, 0.9983333333333333, 0.9983351509732493), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9983324068927182, 0.9983355277781343, 0.9983324068927182, 0.9983268552127915)]"
32,8,35,relu,0.5,Adam,"[(0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9938888888888889, 0.9938623259617209, 0.9938888888888889, 0.9938686609487206), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9972206781545303, 0.9972163312069866, 0.9972206781545303, 0.9972114253546527)]"
32,8,60,relu,0.2,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
32,8,60,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9983333333333333, 0.998331235607561, 0.9983333333333333, 0.9983315051139251), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9944413563090606, 0.9944429634811834, 0.9944413563090606, 0.9943912755560678)]"
32,8,100,relu,0.2,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9983324068927182, 0.9983355277781343, 0.9983324068927182, 0.9983268552127915)]"
32,8,100,relu,0.5,Adam,"[(0.9955555555555555, 0.9955776672194583, 0.9955555555555555, 0.995515745782935), (0.9988888888888889, 0.9988888888888889, 0.9988888888888889, 0.9988888888888889), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9977765425236242, 0.9977820873053609, 0.9977765425236242, 0.9977666438634649)]"
32,32,35,relu,0.2,Adam,"[(0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (0.9994444444444445, 0.9994447914497884, 0.9994444444444445, 0.9994438350379751), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9972206781545303, 0.9972163312069866, 0.9972206781545303, 0.9972114253546527)]"
32,32,35,relu,0.5,Adam,"[(0.9972222222222222, 0.9972308757355486, 0.9972222222222222, 0.9972068081035478), (0.9961111111111111, 0.9960993892233225, 0.9961111111111111, 0.9960982387855494), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9983324068927182, 0.9983355277781343, 0.9983324068927182, 0.9983268552127915)]"
32,32,60,relu,0.2,Adam,"[(0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9977777777777778, 0.9977833194790802, 0.9977777777777778, 0.9977679415881663), (0.9994441356309061, 0.9994444828291379, 0.9994441356309061, 0.999443522376511)]"
32,32,60,relu,0.5,Adam,"[(0.9966666666666667, 0.9966791199667911, 0.9966666666666667, 0.9966444051075976), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9988888888888889, 0.9988902760438341, 0.9988888888888889, 0.9988864441577727), (0.9983333333333333, 0.9983364524849242, 0.9983333333333333, 0.9983278166223784), (0.9966648137854364, 0.9966772740079067, 0.9966648137854364, 0.9966424102865573)]"
