Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.9933333333333333, 0.9933829611248967, 0.9933333333333333, 0.9932426938499527), (0.9938888888888889, 0.9938623259617209, 0.9938888888888889, 0.9938686609487206), (0.9933333333333333, 0.9933420507791217, 0.9933333333333333, 0.9932582474638549), (0.9938888888888889, 0.9939306159045451, 0.9938888888888889, 0.9938129524945091), (0.9949972206781545, 0.9950252039061823, 0.9949972206781545, 0.9949463633371813)]"
32,8,35,relu,0.5,Adam,"[(0.985, 0.9852489244007375, 0.985, 0.9845198563394815), (0.9938888888888889, 0.9939306159045451, 0.9938888888888889, 0.9938129524945091), (0.9894444444444445, 0.989497968420685, 0.9894444444444445, 0.9892380727962911), (0.9905555555555555, 0.9905116609027225, 0.9905555555555555, 0.9904381993096958), (0.9916620344635909, 0.9916859037003268, 0.9916620344635909, 0.9915381315832548)]"
32,8,60,relu,0.2,Adam,"[(0.9883333333333333, 0.9884844746041538, 0.9883333333333333, 0.9880481460031559), (0.995, 0.994983624890167, 0.995, 0.9949722545863859), (0.9927777777777778, 0.992759604479023, 0.9927777777777778, 0.9927047853388333), (0.9938888888888889, 0.9938599994674762, 0.9938888888888889, 0.993854977827805), (0.9961089494163424, 0.9961258986099241, 0.9961089494163424, 0.9960783655875276)]"
32,8,60,relu,0.5,Adam,"[(0.9844444444444445, 0.9847119847119847, 0.9844444444444445, 0.9839264855453849), (0.9911111111111112, 0.991141579281644, 0.9911111111111112, 0.9909692733897718), (0.9877777777777778, 0.9878600823045268, 0.9877777777777778, 0.9874940975627474), (0.9922222222222222, 0.9922896874569738, 0.9922222222222222, 0.9920981142160503), (0.990550305725403, 0.9905398042246796, 0.990550305725403, 0.9904098824610219)]"
32,8,100,relu,0.2,Adam,"[(0.9927777777777778, 0.9927415284096386, 0.9927777777777778, 0.9927213397960832), (0.995, 0.9949808575925216, 0.995, 0.9949834498671349), (0.9938888888888889, 0.9939306159045451, 0.9938888888888889, 0.9938129524945091), (0.995, 0.9949992100621955, 0.995, 0.9949609275511345), (0.9933296275708727, 0.9933062688464898, 0.9933296275708727, 0.9933148663854423)]"
32,8,100,relu,0.5,Adam,"[(0.9877777777777778, 0.9879435539114948, 0.9877777777777778, 0.9874638316599831), (0.9944444444444445, 0.9944461719181867, 0.9944444444444445, 0.9943946822286687), (0.9905555555555555, 0.9904838467570815, 0.9905555555555555, 0.990481752041032), (0.9916666666666667, 0.9917440660474717, 0.9916666666666667, 0.9915237691287457), (0.9949972206781545, 0.9950252039061823, 0.9949972206781545, 0.9949463633371813)]"
32,32,35,relu,0.2,Adam,"[(0.9927777777777778, 0.9928359853964318, 0.9927777777777778, 0.9926710850863456), (0.9955555555555555, 0.9955411923705475, 0.9955555555555555, 0.9955358831763326), (0.9927777777777778, 0.9927909642372709, 0.9927777777777778, 0.9926880347662379), (0.9955555555555555, 0.9955776672194583, 0.9955555555555555, 0.995515745782935), (0.9927737632017788, 0.9927553040899569, 0.9927737632017788, 0.9927003025981508)]"
32,32,35,relu,0.5,Adam,"[(0.985, 0.9852489244007375, 0.985, 0.9845198563394815), (0.995, 0.9950279676817899, 0.995, 0.9949494667730385), (0.9911111111111112, 0.9910980882154526, 0.9911111111111112, 0.9909902584666035), (0.9911111111111112, 0.9911991199119913, 0.9911111111111112, 0.9909480375898287), (0.990550305725403, 0.990649653160572, 0.990550305725403, 0.9903644538817415)]"
32,32,60,relu,0.2,Adam,"[(0.9933333333333333, 0.9933420507791217, 0.9933333333333333, 0.9932582474638549), (0.9933333333333333, 0.993299065262015, 0.9933333333333333, 0.9933038247644989), (0.9927777777777778, 0.9927415284096386, 0.9927777777777778, 0.9927213397960832), (0.9955555555555555, 0.9955776672194583, 0.9955555555555555, 0.995515745782935), (0.9961089494163424, 0.9961258986099241, 0.9961089494163424, 0.9960783655875276)]"
32,32,60,relu,0.5,Adam,"[(0.9883333333333333, 0.9884844746041538, 0.9883333333333333, 0.9880481460031559), (0.9938888888888889, 0.9938937860804066, 0.9938888888888889, 0.9938271260559359), (0.9922222222222222, 0.9922896874569738, 0.9922222222222222, 0.9920981142160503), (0.9922222222222222, 0.9922405246701747, 0.9922222222222222, 0.9921164761582781), (0.9927737632017788, 0.9928320031759741, 0.9927737632017788, 0.9926663807054873)]"
32,32,100,relu,0.2,Adam,"[(0.9916666666666667, 0.9916907302852381, 0.9916666666666667, 0.9915435597150143), (0.9961111111111111, 0.9961280508884741, 0.9961111111111111, 0.9960807214286602), (0.9938888888888889, 0.9939306159045451, 0.9938888888888889, 0.9938129524945091), (0.9938888888888889, 0.9939306159045451, 0.9938888888888889, 0.9938129524945091), (0.9944413563090606, 0.9944758820462715, 0.9944413563090606, 0.9943783826262401)]"
32,32,100,relu,0.5,Adam,"[(0.9911111111111112, 0.9911991199119913, 0.9911111111111112, 0.9909480375898287), (0.9938888888888889, 0.9939306159045451, 0.9938888888888889, 0.9938129524945091), (0.9933333333333333, 0.9933829611248967, 0.9933333333333333, 0.9932426938499527), (0.9905555555555555, 0.9905454751740445, 0.9905555555555555, 0.9904160343436829), (0.9916620344635909, 0.9916859037003268, 0.9916620344635909, 0.9915381315832548)]"
32,64,35,relu,0.2,Adam,"[(0.9938888888888889, 0.9938937860804066, 0.9938888888888889, 0.9938271260559359), (0.9916666666666667, 0.9917440660474717, 0.9916666666666667, 0.9915237691287457), (0.9933333333333333, 0.9933420507791217, 0.9933333333333333, 0.9932582474638549), (0.9933333333333333, 0.9933829611248967, 0.9933333333333333, 0.9932426938499527), (0.9949972206781545, 0.9949963252966484, 0.9949972206781545, 0.9949578986125355)]"
