Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (0.9984984984984985, 0.9985059686552225, 0.9984984984984985, 0.9984984891140555), (1.0, 1.0, 1.0, 1.0)]"
32,8,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,60,relu,0.2,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (0.9984984984984985, 0.9985059686552225, 0.9984984984984985, 0.9984984891140555)]"
32,8,60,relu,0.5,Adam,"[(0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985044236444851), (1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.9984969827350777), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985022616601563), (1.0, 1.0, 1.0, 1.0)]"
32,8,100,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970164171645521, 0.9970014992503748, 0.9969977229898916), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (0.996996996996997, 0.9970268776238926, 0.996996996996997, 0.9969969687021938), (1.0, 1.0, 1.0, 1.0)]"
32,32,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (0.9984984984984985, 0.9985059686552225, 0.9984984984984985, 0.9984984891140555)]"
32,32,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
