Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (0.996996996996997, 0.9970268776238926, 0.996996996996997, 0.9969969687021938), (0.996996996996997, 0.9970268776238926, 0.996996996996997, 0.9969969687021938)]"
32,8,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985044236444851), (0.9970014992503748, 0.9970164171645521, 0.9970014992503748, 0.9969977041078827), (0.9984984984984985, 0.9985209089686702, 0.9984984984984985, 0.9985022616601563), (1.0, 1.0, 1.0, 1.0)]"
32,8,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9940029985007496, 0.9940175426838036, 0.9940029985007496, 0.9939953896148753), (0.996996996996997, 0.9970268776238926, 0.996996996996997, 0.9969969687021938), (1.0, 1.0, 1.0, 1.0)]"
32,8,100,relu,0.2,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,8,100,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9969969219200451), (1.0, 1.0, 1.0, 1.0)]"
32,32,35,relu,0.2,Adam,"[(0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.9970014992503748, 0.997031006007093, 0.9970014992503748, 0.9970013874975541), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9969969219200451), (1.0, 1.0, 1.0, 1.0)]"
32,32,35,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (0.9985007496251874, 0.998522797424817, 0.9985007496251874, 0.9985044236444851), (0.9985007496251874, 0.9985082085822761, 0.9985007496251874, 0.998500740254814), (0.996996996996997, 0.9970267296999971, 0.996996996996997, 0.9969969219200451), (0.9954954954954955, 0.9955176829648196, 0.9954954954954955, 0.995491589987971)]"
32,32,60,relu,0.2,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
32,32,60,relu,0.5,Adam,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (0.9970014992503748, 0.9970089582074635, 0.9970014992503748, 0.9969977323602651), (0.9984984984984985, 0.9985059686552225, 0.9984984984984985, 0.9984984891140555), (0.996996996996997, 0.9970853206147323, 0.996996996996997, 0.9970118622334929)]"
