Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.9938888888888889, 0.993891227622571, 0.9938888888888889, 0.9938691246567127), (0.9983333333333333, 0.9983342546321887, 0.9983333333333333, 0.998333332175925), (0.9955555555555555, 0.9955615042940692, 0.9955555555555555, 0.9955524063462713), (0.9922222222222222, 0.992265488145099, 0.9922222222222222, 0.9922144928580287), (0.9933296275708727, 0.9933660554796193, 0.9933296275708727, 0.9933331694328773)]"
32,8,35,relu,0.5,Adam,"[(0.9811111111111112, 0.9817037626795371, 0.9811111111111112, 0.9808893573792737), (0.9811111111111112, 0.9813237742989198, 0.9811111111111112, 0.9809396506026203), (0.9844444444444445, 0.9844869246093976, 0.9844444444444445, 0.9844110444158426), (0.9866666666666667, 0.9867275924084121, 0.9866666666666667, 0.9866708121617764), (0.9733185102834908, 0.9741069107373376, 0.9733185102834908, 0.9732334054026628)]"
32,8,60,relu,0.2,Adam,"[(0.9916666666666667, 0.9917250239590056, 0.9916666666666667, 0.9916550444767692), (0.9905555555555555, 0.990567143248777, 0.9905555555555555, 0.9905498771219293), (0.9944444444444445, 0.9944219691472121, 0.9944444444444445, 0.994420661701665), (0.9961111111111111, 0.9961180059952638, 0.9961111111111111, 0.9961130680668124), (0.9877709838799333, 0.9878038206407761, 0.9877709838799333, 0.9877776979494374)]"
32,8,60,relu,0.5,Adam,"[(0.9877777777777778, 0.9878519993750368, 0.9877777777777778, 0.9877569662489557), (0.985, 0.985245660647586, 0.985, 0.9849878477120158), (0.9883333333333333, 0.9885543294914111, 0.9883333333333333, 0.9882783688723713), (0.9916666666666667, 0.99167720341155, 0.9916666666666667, 0.9916686035335134), (0.9883268482490273, 0.9884985345678985, 0.9883268482490273, 0.9882607707798213)]"
32,8,100,relu,0.2,Adam,"[(0.9955555555555555, 0.9955703150401792, 0.9955555555555555, 0.9955428271309438), (0.9955555555555555, 0.9955555369749469, 0.9955555555555555, 0.9955546234445397), (0.9961111111111111, 0.9961221267255587, 0.9961111111111111, 0.9961106172524824), (0.9938888888888889, 0.9938893081284255, 0.9938888888888889, 0.9938876030363478), (0.9955530850472485, 0.9955530603418908, 0.9955530850472485, 0.9955512259845833)]"
32,8,100,relu,0.5,Adam,"[(0.9866666666666667, 0.986745711735214, 0.9866666666666667, 0.9865869157246675), (0.9744444444444444, 0.9755375319320477, 0.9744444444444444, 0.9740495931848638), (0.9888888888888889, 0.9888881137031313, 0.9888888888888889, 0.9888454250702052), (0.9911111111111112, 0.9911290056744603, 0.9911111111111112, 0.9910968713342787), (0.9883268482490273, 0.9883234220753091, 0.9883268482490273, 0.9883024877154202)]"
32,32,35,relu,0.2,Adam,"[(0.9905555555555555, 0.9905932937207791, 0.9905555555555555, 0.9905333937324002), (0.9922222222222222, 0.9922184689392609, 0.9922222222222222, 0.992219430526543), (0.9944444444444445, 0.994458756674353, 0.9944444444444445, 0.994438884643125), (0.9938888888888889, 0.9938965536132632, 0.9938888888888889, 0.993883818546303), (0.9927737632017788, 0.9927836304505624, 0.9927737632017788, 0.9927685094870297)]"
32,32,35,relu,0.5,Adam,"[(0.9777777777777777, 0.9788372212173801, 0.9777777777777777, 0.9778346135593602), (0.9877777777777778, 0.9878116635722265, 0.9877777777777778, 0.9877423217033106), (0.9738888888888889, 0.9755328282007089, 0.9738888888888889, 0.9739587697276649), (0.9811111111111112, 0.9814877239536842, 0.9811111111111112, 0.9810258420668982), (0.981100611450806, 0.9815309306693737, 0.981100611450806, 0.9811354239841391)]"
32,32,60,relu,0.2,Adam,"[(0.995, 0.9950218081551315, 0.995, 0.9949974874499034), (0.9922222222222222, 0.9922904481656545, 0.9922222222222222, 0.99218712334699), (0.9977777777777778, 0.9977874550770669, 0.9977777777777778, 0.9977689793599457), (0.9938888888888889, 0.993923868516139, 0.9938888888888889, 0.9938749320339612), (0.9955530850472485, 0.9955637048700762, 0.9955530850472485, 0.9955507989931658)]"
32,32,60,relu,0.5,Adam,"[(0.9705555555555555, 0.9714847581543666, 0.9705555555555555, 0.9703104222729404), (0.9911111111111112, 0.9911101309840012, 0.9911111111111112, 0.9911097071478772), (0.995, 0.9950165409358988, 0.995, 0.994998081496623), (0.9911111111111112, 0.9911221484244925, 0.9911111111111112, 0.9911151448500402), (0.9855475264035576, 0.9856998561507491, 0.9855475264035576, 0.9853840172110631)]"
32,32,100,relu,0.2,Adam,"[(0.9911111111111112, 0.9911133501795547, 0.9911111111111112, 0.9911107466994405), (0.9955555555555555, 0.9955775202920017, 0.9955555555555555, 0.9955559587589579), (0.9905555555555555, 0.9906027879009758, 0.9905555555555555, 0.9905562422933962), (0.9966666666666667, 0.9966665136131443, 0.9966666666666667, 0.996659175729227), (0.9877709838799333, 0.9878157176151061, 0.9877709838799333, 0.9877542846403871)]"
32,32,100,relu,0.5,Adam,"[(0.9844444444444445, 0.9844572771547839, 0.9844444444444445, 0.9843634932307742), (0.9938888888888889, 0.994026068128886, 0.9938888888888889, 0.9939139577739746), (0.9944444444444445, 0.9944866396938697, 0.9944444444444445, 0.9944110731877567), (0.9872222222222222, 0.9873980037309613, 0.9872222222222222, 0.987117053235483), (0.9899944413563091, 0.9901020232700593, 0.9899944413563091, 0.9899036337758941)]"
32,64,35,relu,0.2,Adam,"[(0.9877777777777778, 0.9877818677522947, 0.9877777777777778, 0.9877679009987427), (0.9794444444444445, 0.979517476397514, 0.9794444444444445, 0.9794494713148323), (0.9922222222222222, 0.9922033525628682, 0.9922222222222222, 0.9921974993281477), (0.995, 0.9950220750551876, 0.995, 0.9950036667074078), (0.9944413563090606, 0.9944647287924565, 0.9944413563090606, 0.9944347774744008)]"
32,64,35,relu,0.5,Adam,"[(0.9944444444444445, 0.9944760507549637, 0.9944444444444445, 0.9944260806746792), (0.9855555555555555, 0.9858578238432608, 0.9855555555555555, 0.9855492956048383), (0.98, 0.9802002169734835, 0.98, 0.9799914088042159), (0.985, 0.9850687857033811, 0.985, 0.9849377886626784), (0.9499722067815453, 0.9538623384645272, 0.9499722067815453, 0.9501876456206007)]"
