Num Units,Batch Size,Epochs,Dense Activation,drop,optimizer,"Fold Results (accuracy, precision, recall, f1)"
32,8,35,relu,0.2,Adam,"[(0.9866666666666667, 0.9866631015778706, 0.9866666666666667, 0.9866006367193361), (0.9883333333333333, 0.9884855525229561, 0.9883333333333333, 0.9883252009499044), (0.9911111111111112, 0.9911971212403721, 0.9911111111111112, 0.9910342519639705), (0.9866666666666667, 0.9868076779328087, 0.9866666666666667, 0.9866579787151315), (0.9888827126181212, 0.9890299631803834, 0.9888827126181212, 0.9888801802005711)]"
32,8,35,relu,0.5,Adam,"[(0.9561111111111111, 0.9602258339389653, 0.9561111111111111, 0.9558009819129039), (0.9866666666666667, 0.9867929024973325, 0.9866666666666667, 0.9866036737718893), (0.9722222222222222, 0.972047124215452, 0.9722222222222222, 0.9721025581345627), (0.9505555555555556, 0.9534341763751709, 0.9505555555555556, 0.9512296724898559), (0.9755419677598666, 0.9765736642585505, 0.9755419677598666, 0.9754955932953577)]"
32,8,60,relu,0.2,Adam,"[(0.9794444444444445, 0.9796077834295144, 0.9794444444444445, 0.9792595340749954), (0.9883333333333333, 0.9883306966197332, 0.9883333333333333, 0.9883191407511985), (0.9872222222222222, 0.9871899635174036, 0.9872222222222222, 0.9871691760618893), (0.9844444444444445, 0.984407692871693, 0.9844444444444445, 0.9844115449902205), (0.9888827126181212, 0.9889035502439575, 0.9888827126181212, 0.9888767201258207)]"
32,8,60,relu,0.5,Adam,"[(0.9805555555555555, 0.980959445188801, 0.9805555555555555, 0.980344821781281), (0.9744444444444444, 0.9752627890049242, 0.9744444444444444, 0.974411023024405), (0.9816666666666667, 0.9817302831567534, 0.9816666666666667, 0.9814634576116908), (0.9861111111111112, 0.9863387978142077, 0.9861111111111112, 0.9858875839737083), (0.9861033907726515, 0.9862723895834439, 0.9861033907726515, 0.9859942049919548)]"
32,8,100,relu,0.2,Adam,"[(0.9911111111111112, 0.9910911696042505, 0.9911111111111112, 0.9910613334290517), (0.9938888888888889, 0.993901389342926, 0.9938888888888889, 0.9938780370353708), (0.9927777777777778, 0.9927732892516691, 0.9927777777777778, 0.9927237003946711), (0.9916666666666667, 0.9916613457758717, 0.9916666666666667, 0.9916355686113537), (0.9916620344635909, 0.9916597255519257, 0.9916620344635909, 0.9916215030472091)]"
32,8,100,relu,0.5,Adam,"[(0.9738888888888889, 0.9742685808127602, 0.9738888888888889, 0.9739381961139486), (0.9838888888888889, 0.9843240855941013, 0.9838888888888889, 0.9837352716703044), (0.9738888888888889, 0.9750797728297564, 0.9738888888888889, 0.9738633222210976), (0.9827777777777778, 0.98281274712046, 0.9827777777777778, 0.9826060171647567), (0.9783212896053363, 0.9787318706705492, 0.9783212896053363, 0.9783252965896442)]"
32,32,35,relu,0.2,Adam,"[(0.9877777777777778, 0.9879459177895872, 0.9877777777777778, 0.9876190481762727), (0.9827777777777778, 0.9832067183807527, 0.9827777777777778, 0.9826093743954175), (0.9855555555555555, 0.9855436167276936, 0.9855555555555555, 0.985468007852869), (0.9933333333333333, 0.9933723439854079, 0.9933333333333333, 0.9932987021207781), (0.9888827126181212, 0.9889457098378815, 0.9888827126181212, 0.988833198977885)]"
32,32,35,relu,0.5,Adam,"[(0.9638888888888889, 0.9664765695746989, 0.9638888888888889, 0.9637022319991211), (0.9611111111111111, 0.9613998644932238, 0.9611111111111111, 0.9607108933597694), (0.9711111111111111, 0.9709928103597046, 0.9711111111111111, 0.9710030231851122), (0.9694444444444444, 0.9700414242913563, 0.9694444444444444, 0.9690968944434589), (0.9594219010561423, 0.9615894326729582, 0.9594219010561423, 0.9594914903445503)]"
32,32,60,relu,0.2,Adam,"[(0.9894444444444445, 0.9895982896935581, 0.9894444444444445, 0.989351139493021), (0.9861111111111112, 0.9861821759294394, 0.9861111111111112, 0.9860675849635413), (0.99, 0.9900789898076194, 0.99, 0.9899236499493355), (0.9922222222222222, 0.992299208953395, 0.9922222222222222, 0.9921407796938945), (0.9888827126181212, 0.9889131936427916, 0.9888827126181212, 0.988883598553589)]"
32,32,60,relu,0.5,Adam,"[(0.9438888888888889, 0.9494789954499905, 0.9438888888888889, 0.9440482894217813), (0.9866666666666667, 0.9868745226198173, 0.9866666666666667, 0.9865456644791489), (0.9727777777777777, 0.9733688002447818, 0.9727777777777777, 0.9726858657028842), (0.9694444444444444, 0.9712431311536726, 0.9694444444444444, 0.9694292245525874), (0.9849916620344636, 0.985248940805623, 0.9849916620344636, 0.9847429535488379)]"
